Opened database successfully: bsmagen100k
Start Retweet Table Load
End Retweet Table Load
Start Tweet Table Load
End Tweet Table Load
263926,10000000
356112,10000000
807420,10000000
1217809,10000000
1616042,10000000
2000876,10000000
2161986,10000000
2701882,10000000
3856469,10000000
3615049,10000000
4321275,10000000
4180052,10000000
4555833,10000000
4381190,10000000
3006221,10000000
3945735,10000000
5795680,10000000
5944524,10000000
5035424,10000000
5862939,10000000
6759727,10000000
7274604,10000000
2842106,10000000
2983745,10000000
3809272,10000000
8461843,10000000
8789645,10000000
3797627,10000000
3795280,10000000
9898839,10000000
6220787,10000000
3797627,10000000
2983745,10000000
10185103,10000000
9564594,10000000
8789645,10000000
10615438,10000000
1217809,10000000
10803233,10000000
3809272,10000000
8461843,10000000
11182086,10000000
6759727,10000000
9210616,10000000
3945735,10000000
6065875,10000000
10235437,10000000
11865054,10000000
0ms
48
